Coordinator;IDresponsible;WardCodeOriginal;Organisatie;Locatie;Teamnaam
889193;771;F01;Surplus;Fendertshof;FH zorgappartement Hofjes
889193;786;B01;Surplus;WZC De Breedonk;afdeling 1
889193;786;B02;Surplus;WZC De Breedonk;afdeling 2
889193;786;B03;Surplus;WZC De Breedonk;afdeling 3
889193;807;WW01;Surplus;Locatie Westerwiek;Duinzicht
889193;807;WW03;Surplus;Locatie Westerwiek;Regenboog
889193;807;WW02;Surplus;Locatie Westerwiek;Zonlicht
889193;1021;E01;Surplus;Locatie Elisabeth Centrum;Tolbrugstate
889193;1021;E03;Surplus;Locatie Elisabeth Centrum;Haagstate
889193;1021;E09;Surplus;Locatie Elisabeth Centrum;Corenschup
889193;1021;E02;Surplus;Locatie Elisabeth Centrum;Wintmolen
889193;1021;E08;Surplus;Locatie Elisabeth Centrum;De Raep
889193;1021;E07;Surplus;Locatie Elisabeth Centrum;Claverbladt
889193;1021;E06;Surplus;Locatie Elisabeth Centrum;Truweel
889193;1021;E05;Surplus;Locatie Elisabeth Centrum;Grutmolen
889193;1021;E04;Surplus;Locatie Elisabeth Centrum;Saageman
889193;1023;Vu02;Surplus;Locatie Vuchterhage;afdeling 1
889193;1023;Vu03;Surplus;Locatie Vuchterhage;afdeling 2
889193;1023;Vu01;Surplus;Locatie Vuchterhage;afdeling 0
889193;1025;DD01;Surplus;Locatie De Donk;De Donk PG
889193;1025;DD02;Surplus;Locatie De Donk;De Donk Somatiek 1
889193;1025;DD03;Surplus;Locatie De Donk;De Donk Somatiek 2
889193;1775;Z01;Surplus;de Zeven Schakels;Schakel 1
889193;1775;Z02;Surplus;de Zeven Schakels;Schakel 5 (125-345 en 421-645)
889193;1775;Z03;Surplus;de Zeven Schakels;Schakel 6 begane grond
889193;1775;Z04;Surplus;de Zeven Schakels;Schakel 6 eerste verdieping
889193;2217;Mo01;Surplus;Molenstaete;Watermolen
889193;2217;Mo02;Surplus;Molenstaete;Papiermolen
889193;2217;Mo03;Surplus;Molenstaete;Korenmolen
889688;2139;105;Atlant Wonen Zorg welzijn;Markenhof;West
889688;2139;110;Atlant Wonen Zorg welzijn;Markenhof;Noord
889688;2139;112;Atlant Wonen Zorg welzijn;Markenhof;Oost
889688;2139;114;Atlant Wonen Zorg welzijn;Markenhof;Zuid
889688;2139;116;Atlant Wonen Zorg welzijn;Markenhof;Buiten
889688;2140;420;Atlant Wonen Zorg welzijn;Markenhaven;Passage
889688;2140;425;Atlant Wonen Zorg welzijn;Markenhaven;De Waag
889688;2140;430;Atlant Wonen Zorg welzijn;Markenhaven;Oostpoort
889688;2140;431;Atlant Wonen Zorg welzijn;Markenhaven;Hofplein
889688;2140;432;Atlant Wonen Zorg welzijn;Markenhaven;Delfshaven
889688;2141;415;Atlant Wonen Zorg welzijn;Immendaal;Coolsingel
889688;2142;510;Atlant Wonen Zorg welzijn;Heemhof;Crocus
889688;2142;515;Atlant Wonen Zorg welzijn;Heemhof;Dahlia
889688;2142;520;Atlant Wonen Zorg welzijn;Heemhof;Everest
889688;2142;525;Atlant Wonen Zorg welzijn;Heemhof;Aster
889688;2142;590;Atlant Wonen Zorg welzijn;Heemhof;Extramuraal
889688;2143;905;Atlant Wonen Zorg welzijn;Berkenhove;De Berken
889688;2143;907;Atlant Wonen Zorg welzijn;Berkenhove;De Hove
889688;2143;915;Atlant Wonen Zorg welzijn;Berkenhove;KSW
889688;2143;990;Atlant Wonen Zorg welzijn;Berkenhove;Extramuraal
889688;2144;205;Atlant Wonen Zorg welzijn;De Loohof;WZC 1e verdieping
889688;2144;206;Atlant Wonen Zorg welzijn;De Loohof;Koetshuis PG
889688;2144;207;Atlant Wonen Zorg welzijn;De Loohof;Somatiek 2e verdieping
889688;2144;208;Atlant Wonen Zorg welzijn;De Loohof;WZC 3e verdieping
889688;2144;290;Atlant Wonen Zorg welzijn;De Loohof;Extramuraal
889688;2145;305-1;Atlant Wonen Zorg welzijn;Sprengenhof;De Piek
889688;2145;305-2;Atlant Wonen Zorg welzijn;Sprengenhof;De Goudvink
889688;2145;306-1;Atlant Wonen Zorg welzijn;Sprengenhof;De Bron
889688;2145;306-2;Atlant Wonen Zorg welzijn;Sprengenhof;De Beek
889688;2145;390;Atlant Wonen Zorg welzijn;Sprengenhof;Extramuraal
889688;2146;710;Atlant Wonen Zorg welzijn;Koningin Wilhelmina;KSW 1
889688;2146;711;Atlant Wonen Zorg welzijn;Koningin Wilhelmina;KSW 2
889688;2146;715;Atlant Wonen Zorg welzijn;Koningin Wilhelmina;Tweede etage
889688;2146;716;Atlant Wonen Zorg welzijn;Koningin Wilhelmina;Derde etage
889688;2146;790;Atlant Wonen Zorg welzijn;Koningin Wilhelmina;Extramuraal
889688;2147;805;Atlant Wonen Zorg welzijn;Berghorst;Berghorst 1
889688;2147;807;Atlant Wonen Zorg welzijn;Berghorst;Berghorst 2
889688;2147;890;Atlant Wonen Zorg welzijn;Berghorst;Extramuraal
888782;517;32;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;Haasdijk
888782;517;11;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;Boveneindje
888782;517;12;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;Boerenhoek
888782;517;33;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;Plukmade
888782;517;31;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;de Duin
888782;517;21;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;de Schans
888782;517;22;Zorgcentrum de Wijngaerd;verpleeg/verzorgingshuis de Wijngaerd;Stuivezand
889042;539;01;Het Spectrum;De Sterrenlanden;PG 1
889042;539;02;Het Spectrum;De Sterrenlanden;PG 2
889042;539;03;Het Spectrum;De Sterrenlanden;PG 3
889042;539;06;Het Spectrum;De Sterrenlanden;somatiek 1e etage
889042;539;05;Het Spectrum;De Sterrenlanden;Somatiek bg + zorgwoningen
889042;539;07;Het Spectrum;De Sterrenlanden;KSW
889042;540;01;Het Spectrum;Vreedonk;lichte zorg
889042;540;02;Het Spectrum;Vreedonk;somatiek
889042;540;03;Het Spectrum;Vreedonk;PG Bomkade/kuipershaven
889042;540;04;Het Spectrum;Vreedonk;PG Hooikade/Nieuwe haven
889042;540;05;Het Spectrum;Vreedonk;PG team 3
889689;2168;DMS_DN;Argos Zorggroep;DrieMaasStede;De Noord
889689;2168;DMS_DDK;Argos Zorggroep;DrieMaasStede;De DrieKoornBloemen
889689;2168;DMS_DNP;Argos Zorggroep;DrieMaasStede;De Nieuwe Palmboom
889689;2168;DMS_DW;Argos Zorggroep;DrieMaasStede;De Walvisch
889689;2168;DMS_DK;Argos Zorggroep;DrieMaasStede;De Kameel
889689;2169;MRO_TFR_;Argos Zorggroep;Marnix;MRO TRF
889689;2169;MRO_TFR_;Argos Zorggroep;Marnix;MRO TRF
889689;2169;MRO_GR2;Argos Zorggroep;Marnix;Geriatrische Revalidatie 2
889689;2169;MRO_PGR;Argos Zorggroep;Marnix;Psycho Geriatrische Revalidatie
889689;2169;MRO_CPH;Argos Zorggroep;Marnix;Centrum voor Preventie en Herstel
889689;2170;SND_DK;Argos Zorggroep;Soenda;Kuiperij
889689;2170;SND_DB;Argos Zorggroep;Soenda;Boeterij
889689;2170;SND_DT;Argos Zorggroep;Soenda;Taanderij
889689;2170;SND_DV;Argos Zorggroep;Soenda;Visserij
889689;2171;MPL_AK2;Argos Zorggroep;De Meerpaal;2171
889689;2171;MPL_ST;Argos Zorggroep;De Meerpaal;2171
889689;2171;MPL_AK1;Argos Zorggroep;De Meerpaal;2171
889689;2171;MPL_DV1;Argos Zorggroep;De Meerpaal;2171
889689;2171;MPL_DV2;Argos Zorggroep;De Meerpaal;2171
889689;2172;DMH_SP;Argos Zorggroep;DrieMaasHave;Stationsplein
889689;2172;DMH_MP;Argos Zorggroep;DrieMaasHave;Marktplein
889689;2172;DMH_KP;Argos Zorggroep;DrieMaasHave;Koningsplein
889689;2172;DMH_HP;Argos Zorggroep;DrieMaasHave;Havenplein
889689;2172;DMH_MK;Argos Zorggroep;DrieMaasHave;Molenkwartier
889689;2173;TWM_EV;Argos Zorggroep;De TweeMaster;De Ever
889689;2173;TWM_SN;Argos Zorggroep;De TweeMaster;De Schoener
889689;2173;TWM_LG;Argos Zorggroep;De TweeMaster;de Logger
889689;2173;TWM_KP;Argos Zorggroep;De TweeMaster;de Klipper
889689;2174;bvl_ki_;Argos Zorggroep;Breede Vliet;kievit
889689;2174;bvl_eh_;Argos Zorggroep;Breede Vliet;eekhoorn
889689;2174;bvl_kb_;Argos Zorggroep;Breede Vliet;korenbloem
889689;2174;bvl_kr_;Argos Zorggroep;Breede Vliet;klaproos
889689;2174;bvl_vl;Argos Zorggroep;Breede Vliet;Viool
889689;2175;mwh_ds_;Argos Zorggroep;Meeuwenhof;Dorpstraat
889689;2175;mwh_ga_;Argos Zorggroep;Meeuwenhof;Gaarde
889689;2175;mwh_ow_;Argos Zorggroep;Meeuwenhof;Oude Wal
889689;2175;mwh_th_;Argos Zorggroep;Meeuwenhof;Tramhuis
889689;2175;mwh_vw_;Argos Zorggroep;Meeuwenhof;Voorweg
889689;2175;mwh_jdr_;Argos Zorggroep;Meeuwenhof;Jan de Raadtkade
889689;2175;mwh_SK2;Argos Zorggroep;Meeuwenhof;Schakel 2
889689;2176;DES_AM;Argos Zorggroep;De Es;Anemoon
889689;2176;DES_CM;Argos Zorggroep;De Es;Clematis
889689;2176;DES_GR1;Argos Zorggroep;De Es;Gouderegen 1
889689;2176;DES_GR2;Argos Zorggroep;De Es;Goudenregen 2
889689;2176;DES_OD1;Argos Zorggroep;De Es;Orchidee 1
889689;2176;DES_OD2;Argos Zorggroep;De Es;Orchidee 2
889689;2177;KLW_KH;Argos Zorggroep;Klepperwei;Koetshuis
889689;2177;KLW_ZK;Argos Zorggroep;Klepperwei;Zadelkamer
889689;2178;HGW_ZCZ;Argos Zorggroep;Hooge-Werf;Zorgcentrumzorg
889689;2178;HGW_WIS;Argos Zorggroep;Hooge-Werf;Wittestee
889689;2178;HGW_WAS;Argos Zorggroep;Hooge-Werf;Waalstee
889452;55;029;De Riethorst Stromenland;Woonzorgcentrum Mauritsstaete;Team 1
889452;55;030;De Riethorst Stromenland;Woonzorgcentrum Mauritsstaete;Team 2
889452;55;031;De Riethorst Stromenland;Woonzorgcentrum Mauritsstaete;Team 3
889452;56;051;De Riethorst Stromenland;Verpleeghuis De Riethorst;Nonnetje
889452;56;052;De Riethorst Stromenland;Verpleeghuis De Riethorst;Rietgans
889452;56;053;De Riethorst Stromenland;Verpleeghuis De Riethorst;Harlekijn
889452;56;054;De Riethorst Stromenland;Verpleeghuis De Riethorst;Brilduiker 1
889452;56;055;De Riethorst Stromenland;Verpleeghuis De Riethorst;Brilduiker 2
889452;57;046;De Riethorst Stromenland;Woonzorgcentrum de Stroming;Team de Akker
889452;57;047;De Riethorst Stromenland;Woonzorgcentrum de Stroming;Team de Vliet
889452;57;048;De Riethorst Stromenland;Woonzorgcentrum de Stroming;Team 1
889452;57;049;De Riethorst Stromenland;Woonzorgcentrum de Stroming;Team 2
889452;57;050;De Riethorst Stromenland;Woonzorgcentrum de Stroming;Team 3
889452;81;003;De Riethorst Stromenland;Verpleeghuis Altenahove;Akkerwinde Team 1 Almzicht
889452;81;004;De Riethorst Stromenland;Verpleeghuis Altenahove;Akkerwinde Team 2 Polderzicht
889452;81;005;De Riethorst Stromenland;Verpleeghuis Altenahove;Akkerwinde Team 3 Tuinzicht
889452;81;006;De Riethorst Stromenland;Verpleeghuis Altenahove;Guldenroede Team 1 WLZ
889452;81;007;De Riethorst Stromenland;Verpleeghuis Altenahove;Guldenroede Team 2 GRZ
889452;81;008;De Riethorst Stromenland;Verpleeghuis Altenahove;Morgenster Team 1 Roos
889452;81;009;De Riethorst Stromenland;Verpleeghuis Altenahove;Morgenster Team 2 Tulp
889452;81;010;De Riethorst Stromenland;Verpleeghuis Altenahove;Morgenster Team 3 lelie
889452;81;011;De Riethorst Stromenland;Verpleeghuis Altenahove;Wilgenroos Team 1
889452;81;012;De Riethorst Stromenland;Verpleeghuis Altenahove;Wilgenroos Team 2
889452;82;027;De Riethorst Stromenland;Zorgcentrum De Lemmenskamp;Team Maas en Waal
889452;82;028;De Riethorst Stromenland;Zorgcentrum De Lemmenskamp;Team Merwede
889452;83;013;De Riethorst Stromenland;Zorgcentrum Antonia;Team PG
889452;83;014;De Riethorst Stromenland;Zorgcentrum Antonia;Team Somatiek
889452;83;015;De Riethorst Stromenland;Zorgcentrum Antonia;Team Wonen met zorg
889452;84;017;De Riethorst Stromenland;Zorgcentrum Goezate;Team de Kajuit
889452;84;018;De Riethorst Stromenland;Zorgcentrum Goezate;Team de Roef
889452;84;019;De Riethorst Stromenland;Zorgcentrum Goezate;Team het Anker
889452;84;020;De Riethorst Stromenland;Zorgcentrum Goezate;Team het Ruim
889452;84;021;De Riethorst Stromenland;Zorgcentrum Goezate;Team de Stuurhut
889452;1196;022;De Riethorst Stromenland;De Kloosterhoeve;Team 1
889452;1196;023;De Riethorst Stromenland;De Kloosterhoeve;Team 2
889452;1196;024 ;De Riethorst Stromenland;De Kloosterhoeve;Team 3
889452;1196;025;De Riethorst Stromenland;De Kloosterhoeve;Team 4
889452;1196;026;De Riethorst Stromenland;De Kloosterhoeve;Team 5
889452;1358;001;De Riethorst Stromenland;Aernswaert;Team 1 
889452;1358;002;De Riethorst Stromenland;Aernswaert;Team 2
889452;1359;016;De Riethorst Stromenland;De Dotter;De Dotter
889452;1895;040;De Riethorst Stromenland;Verpleeghuis Slotjesveste;GRZ Team 1
889452;1895;041;De Riethorst Stromenland;Verpleeghuis Slotjesveste;GRZ Team 2
889452;1895;042;De Riethorst Stromenland;Verpleeghuis Slotjesveste;GRZ Team 3
889452;1895;043;De Riethorst Stromenland;Verpleeghuis Slotjesveste;WLZ Team 4
889452;1895;044;De Riethorst Stromenland;Verpleeghuis Slotjesveste;WLZ Team 5
889452;1895;045;De Riethorst Stromenland;Verpleeghuis Slotjesveste;WLZ Team 6
888209;384;08;Stichting Land van Horne;St. Martinus - Weert;Huntington KSW
888209;384;01;Stichting Land van Horne;St. Martinus - Weert;Long Stay
888209;385;52;Stichting Land van Horne;Marishof - Maarheze;Afdeling somatiek
888209;385;51;Stichting Land van Horne;Marishof - Maarheze;Afdeling PG
888209;386;14;Stichting Land van Horne;Mariënburght - Budel;Somatiek
888209;386;15;Stichting Land van Horne;Mariënburght - Budel;Afdeling PG
888209;386;13;Stichting Land van Horne;Mariënburght - Budel;KSW PG
888209;387;72;Stichting Land van Horne;Rust in Roy - Stramproy;Afdeling PG
888209;387;71;Stichting Land van Horne;Rust in Roy - Stramproy;Somatiek
888209;388;91;Stichting Land van Horne;St. Joseph - Nederweert;KSW PG a, b, c, d
888209;388;94;Stichting Land van Horne;St. Joseph - Nederweert;KSW PG e, f, g, h, i
888209;388;92;Stichting Land van Horne;St. Joseph - Nederweert;KSW somatiek
888209;389;61;Stichting Land van Horne; Hieronymus - Weert;Somatiek
888209;567;84;Stichting Land van Horne;Ververshof - Weert;PG 3 en 4
888209;567;83;Stichting Land van Horne;Ververshof - Weert;PG 1 en 2
888209;715;41;Stichting Land van Horne;St. Elisabeth - Haelen;Somatiek
888209;2180;121;Stichting Land van Horne;Eegelshoeve - Someren;KSW PG
888209;2181;31;Stichting Land van Horne;Hornehoof - Weert;KSW PG 1,2,3
888209;2181;32;Stichting Land van Horne;Hornehoof - Weert;KSW PG 4,5
888209;2181;33;Stichting Land van Horne;Hornehoof - Weert;somatiek
888209;2182;22;Stichting Land van Horne;Hushoven - Weert;KSW PG
888209;2182;21;Stichting Land van Horne;Hushoven - Weert;somatiek
888209;2183;101;Stichting Land van Horne;Nedermazehof - Weert;KSW PG
888209;2184;111;Stichting Land van Horne;Zuyderborgh - Weert;KSW PG
888177;248;04;Parnassia BV;Verpleeghuis Dorestad;Luzerne
888177;248;03;Parnassia BV;Verpleeghuis Dorestad;Icarus
888177;248;01;Parnassia BV;Verpleeghuis Dorestad;Atalanta
889008;126;01;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;plataan
889008;126;02;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;beuk
889008;126;03;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;wilg
889008;126;04;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;iep
889008;126;05;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;linde
889008;126;06;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;abeel
889008;126;07;Stichting Cicero Zorggroep;Zorgcentrum  Schuttershof;gregoriushuis
889008;1278;01;Stichting Cicero Zorggroep;Zorgcentrum 't Brook;Kasteel Rivieren
889008;1278;02;Stichting Cicero Zorggroep;Zorgcentrum 't Brook;Kasteel Cortenbach/ Kasteel Terworm
889008;1278;03;Stichting Cicero Zorggroep;Zorgcentrum 't Brook;Kasteel Puth/ Kasteel Cortenbach
889008;1279;01;Stichting Cicero Zorggroep;Zorgcentrum Op den Toren;Agaat
889008;1279;02;Stichting Cicero Zorggroep;Zorgcentrum Op den Toren;Smaragd
889008;1279;03;Stichting Cicero Zorggroep;Zorgcentrum Op den Toren;Robijn
889008;1279;04;Stichting Cicero Zorggroep;Zorgcentrum Op den Toren;Topaas
889008;1281;01;Stichting Cicero Zorggroep;Zorgcentrum Pius;kasteelzicht
889008;1281;02;Stichting Cicero Zorggroep;Zorgcentrum Pius;zorgafdeling Pius parterre
889008;1281;03;Stichting Cicero Zorggroep;Zorgcentrum Pius;zorgafdeling Pius afd. 2
889008;1281;04;Stichting Cicero Zorggroep;Zorgcentrum Pius;Ridder Hoenhof
889008;2112;01;Stichting Cicero Zorggroep;Cicero Zorghuis ;Zorghuis
889008;2231;01;Stichting Cicero Zorggroep;Huize d’Alzon ;Huize d'Alzon
889008;1008;01;Stichting Cicero Zorggroep;Zorgcentrum Huize Louise;Parklaan
889008;1008;02;Stichting Cicero Zorggroep;Zorgcentrum Huize Louise;Kerkplein
889008;1008;03;Stichting Cicero Zorggroep;Zorgcentrum Huize Louise;Vijverpad
889008;1008;04;Stichting Cicero Zorggroep;Zorgcentrum Huize Louise;Mergelweg
889008;1008;05;Stichting Cicero Zorggroep;Zorgcentrum Huize Louise;Verzorgingshuis
889008;1280;01;Stichting Cicero Zorggroep;Zorgcentrum Emmastaete;zorgafdeling  emmastaete 1/ De Pijler
889008;1280;02;Stichting Cicero Zorggroep;Zorgcentrum Emmastaete;Verpleegafdeling Mijnzicht
889008;1280;03;Stichting Cicero Zorggroep;Zorgcentrum Emmastaete;verpleegafdeling De Schacht
889008;1282;01;Stichting Cicero Zorggroep;Zorgcentrum Elvira;zwaluw
889008;1282;02;Stichting Cicero Zorggroep;Zorgcentrum Elvira;spreeuw
889008;1282;03;Stichting Cicero Zorggroep;Zorgcentrum Elvira;merel
889008;1282;04;Stichting Cicero Zorggroep;Zorgcentrum Elvira;vink
889008;1282;05;Stichting Cicero Zorggroep;Zorgcentrum Elvira;leeuwerik
889008;1283;01;Stichting Cicero Zorggroep;Zorgcentrum Ave Maria;Afdeling BG
889008;1283;02;Stichting Cicero Zorggroep;Zorgcentrum Ave Maria;Afdeling 1
889008;1283;03;Stichting Cicero Zorggroep;Zorgcentrum Ave Maria;Afdeling 2 verpleeghuisunit somatiek
889008;1283;04;Stichting Cicero Zorggroep;Zorgcentrum Ave Maria;Afdeling 3 verpleeghuisunit pg
889008;1285;01;Stichting Cicero Zorggroep;Zorgcentrum Aan de Bleek;verzorgingshuis afdeling Epen
889008;1285;02;Stichting Cicero Zorggroep;Zorgcentrum Aan de Bleek;Verzorgingshuis afdeling Mechelen
889008;1286;01;Stichting Cicero Zorggroep;Zorgcentrum Bronnenhof;BG
889008;1286;02;Stichting Cicero Zorggroep;Zorgcentrum Bronnenhof;Etage 1
889008;1286;03;Stichting Cicero Zorggroep;Zorgcentrum Bronnenhof;Etage 2
889008;1286;04;Stichting Cicero Zorggroep;Zorgcentrum Bronnenhof;Etage 3
889008;134;01;Stichting Cicero Zorggroep;Zorgcentrum Leontine;Klaver
889008;134;02;Stichting Cicero Zorggroep;Zorgcentrum Leontine;Klaproos
888217;521;01;Woonzorgcentrum Raffy Leystroom;Zorg zonder behandeling;Zorg zonder behandeling A
888217;521;02;Woonzorgcentrum Raffy Leystroom;Zorg zonder behandeling;Zorg zonder behandeling B
888217;521;03;Woonzorgcentrum Raffy Leystroom;Zorg zonder behandeling;Zorg zonder behandeling C
888217;521;04;Woonzorgcentrum Raffy Leystroom;Zorg zonder behandeling;Zorg zonder behandeling D/Zorgwoningen
888217;1277;01;Woonzorgcentrum Raffy Leystroom;Zorg met behandeling;Zorg met behandeling Raffy
888217;2081;01;Woonzorgcentrum Raffy Leystroom;Zorgcentrum Lâle;Zorg met behandeling Lale
888217;2232;01;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Chasse
888217;2232;02;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG De Faam
888217;2232;03;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Welten
888217;2232;04;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Het Klokhuis
888217;2232;05;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Schoolstraat
888217;2232;06;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Mastbos
888217;2232;07;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG De Rith
888217;2232;08;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Weilust
888217;2232;03;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Welten
888217;2232;02;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG De Faam
888217;2232;01;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Chasse
888217;2232;01;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG Chasse
888217;2232;07;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG De Rith
888217;2232;07;Woonzorgcentrum Raffy Leystroom;De Leystroom;WG De Rith
889652;2045;021;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Roos
889652;2045;022;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Iris
889652;2045;023;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Tulp
889652;2045;024;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Lelie
889652;2045;025;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Narcis
889652;2045;026;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Anjer
889652;2045;027;Meandergroep Zuid-Limburg;Verpleeghuis Lückerheide;Woonvormen
889652;2047;003;Meandergroep Zuid-Limburg;Zorg- en Revalidatiecentrum Hambos;Afdeling 3
889652;2047;004;Meandergroep Zuid-Limburg;Zorg- en Revalidatiecentrum Hambos;Afdeling 4
889652;2047;005;Meandergroep Zuid-Limburg;Zorg- en Revalidatiecentrum Hambos;Afdeling 5
889652;2047;006;Meandergroep Zuid-Limburg;Zorg- en Revalidatiecentrum Hambos;Afdeling 6
889652;2048;013;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Brandpoort
889652;2048;014;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Hagerhof
889652;2048;015;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Heihof
889652;2048;016;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Heugderhof
889652;2048;017;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Kakertshof
889652;2048;018;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Leenhof
889652;2048;019;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Nieuwhof
889652;2048;020;Meandergroep Zuid-Limburg;Verpleeghuis De Dormig;Overste hof
889652;2049;007;Meandergroep Zuid-Limburg;Heiveld;Irenestraat 7
889652;2049;008;Meandergroep Zuid-Limburg;Heiveld;Irenestraat 9
889652;2049;009;Meandergroep Zuid-Limburg;Heiveld;Irenestraat 11
889652;2049;010;Meandergroep Zuid-Limburg;Heiveld;Maximastraat 10
